2024-11-16 14:36:18 [error] : [Config Editor] Error: 3 INVALID_ARGUMENT: Could not find platform at  
2024-11-16 20:08:24 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 20:08:25 [info] : [Debug Manager] Added breakpoint:main 
2024-11-16 20:08:25 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 20:34:26 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 20:34:26 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 20:35:16 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:15:30 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:15:31 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:15:52 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:16:40 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:16:41 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:17:00 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:17:39 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:17:39 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:19:41 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:20:48 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:20:48 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:23:10 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:23:26 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:23:27 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:49:52 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:50:12 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:50:16 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:50:31 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:50:31 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:51:18 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
